key,value,date
ensamblados-los-instrumentos-de-la,128,2016-10-01
donde-esta-fierro,0,2013-05-01
donde-esta-fierro,0,2013-06-01
donde-esta-fierro,0,2013-07-01
donde-esta-fierro,0,2013-08-01
donde-esta-fierro,0,2013-09-01
donde-esta-fierro,0,2013-10-01
donde-esta-fierro,0,2013-11-01
donde-esta-fierro,0,2013-12-01
donde-esta-fierro,0,2014-01-01
donde-esta-fierro,0,2014-02-01
donde-esta-fierro,0,2014-03-01
donde-esta-fierro,0,2014-04-01
donde-esta-fierro,144,2014-05-01
donde-esta-fierro,144,2014-06-01
donde-esta-fierro,180,2014-07-01
donde-esta-fierro,144,2014-08-01
donde-esta-fierro,144,2014-09-01
donde-esta-fierro,123,2014-10-01
donde-esta-fierro,27,2014-11-01
donde-esta-fierro,11,2014-12-01
donde-esta-fierro,0,2015-01-01
donde-esta-fierro,0,2015-02-01
donde-esta-fierro,180,2015-03-01
donde-esta-fierro,0,2015-04-01
donde-esta-fierro,0,2015-05-01
donde-esta-fierro,0,2015-06-01
donde-esta-fierro,228,2015-07-01
donde-esta-fierro,329,2015-08-01
donde-esta-fierro,198,2015-09-01
donde-esta-fierro,171,2015-10-01
donde-esta-fierro,0,2015-11-01
donde-esta-fierro,0,2015-12-01
donde-esta-fierro,0,2016-01-01
donde-esta-fierro,0,2016-02-01
donde-esta-fierro,0,2016-03-01
donde-esta-fierro,171,2016-04-01
donde-esta-fierro,285,2016-05-01
donde-esta-fierro,228,2016-06-01
donde-esta-fierro,288,2016-07-01
donde-esta-fierro,0,2016-08-01
donde-esta-fierro,0,2016-09-01
donde-esta-fierro,482,2016-10-01
biografias-de-la-literatura,0,2013-05-01
biografias-de-la-literatura,0,2013-06-01
biografias-de-la-literatura,0,2013-07-01
biografias-de-la-literatura,0,2013-08-01
biografias-de-la-literatura,0,2013-09-01
biografias-de-la-literatura,0,2013-10-01
biografias-de-la-literatura,0,2013-11-01
biografias-de-la-literatura,0,2013-12-01
biografias-de-la-literatura,0,2014-01-01
biografias-de-la-literatura,0,2014-02-01
biografias-de-la-literatura,0,2014-03-01
biografias-de-la-literatura,0,2014-04-01
biografias-de-la-literatura,0,2014-05-01
biografias-de-la-literatura,0,2014-06-01
biografias-de-la-literatura,0,2014-07-01
biografias-de-la-literatura,0,2014-08-01
biografias-de-la-literatura,0,2014-09-01
biografias-de-la-literatura,0,2014-10-01
biografias-de-la-literatura,0,2014-11-01
biografias-de-la-literatura,0,2014-12-01
biografias-de-la-literatura,0,2015-01-01
biografias-de-la-literatura,0,2015-02-01
biografias-de-la-literatura,0,2015-03-01
biografias-de-la-literatura,0,2015-04-01
biografias-de-la-literatura,0,2015-05-01
biografias-de-la-literatura,0,2015-06-01
biografias-de-la-literatura,0,2015-07-01
biografias-de-la-literatura,0,2015-08-01
biografias-de-la-literatura,0,2015-09-01
biografias-de-la-literatura,0,2015-10-01
biografias-de-la-literatura,362,2015-11-01
biografias-de-la-literatura,412,2015-12-01
biografias-de-la-literatura,370,2016-01-01
biografias-de-la-literatura,0,2016-02-01
biografias-de-la-literatura,0,2016-03-01
biografias-de-la-literatura,314,2016-04-01
biografias-de-la-literatura,269,2016-05-01
biografias-de-la-literatura,385,2016-06-01
biografias-de-la-literatura,374,2016-07-01
biografias-de-la-literatura,339,2016-08-01
biografias-de-la-literatura,38,2016-09-01
biografias-de-la-literatura,0,2016-10-01
la-fisica-de-la-luz,0,2013-05-01
la-fisica-de-la-luz,0,2013-06-01
la-fisica-de-la-luz,0,2013-07-01
la-fisica-de-la-luz,0,2013-08-01
la-fisica-de-la-luz,0,2013-09-01
la-fisica-de-la-luz,0,2013-10-01
la-fisica-de-la-luz,0,2013-11-01
la-fisica-de-la-luz,0,2013-12-01
la-fisica-de-la-luz,0,2014-01-01
la-fisica-de-la-luz,0,2014-02-01
la-fisica-de-la-luz,0,2014-03-01
la-fisica-de-la-luz,0,2014-04-01
la-fisica-de-la-luz,0,2014-05-01
la-fisica-de-la-luz,0,2014-06-01
la-fisica-de-la-luz,0,2014-07-01
la-fisica-de-la-luz,0,2014-08-01
la-fisica-de-la-luz,0,2014-09-01
la-fisica-de-la-luz,0,2014-10-01
la-fisica-de-la-luz,0,2014-11-01
la-fisica-de-la-luz,0,2014-12-01
la-fisica-de-la-luz,0,2015-01-01
la-fisica-de-la-luz,0,2015-02-01
la-fisica-de-la-luz,0,2015-03-01
la-fisica-de-la-luz,224,2015-04-01
la-fisica-de-la-luz,59,2015-05-01
la-fisica-de-la-luz,0,2015-06-01
la-fisica-de-la-luz,0,2015-07-01
la-fisica-de-la-luz,0,2015-08-01
la-fisica-de-la-luz,0,2015-09-01
la-fisica-de-la-luz,0,2015-10-01
la-fisica-de-la-luz,0,2015-11-01
la-fisica-de-la-luz,0,2015-12-01
la-fisica-de-la-luz,0,2016-01-01
la-fisica-de-la-luz,213,2016-02-01
la-fisica-de-la-luz,277,2016-03-01
la-fisica-de-la-luz,69,2016-04-01
la-fisica-de-la-luz,0,2016-05-01
la-fisica-de-la-luz,0,2016-06-01
la-fisica-de-la-luz,0,2016-07-01
la-fisica-de-la-luz,513,2016-08-01
la-fisica-de-la-luz,374,2016-09-01
la-fisica-de-la-luz,0,2016-10-01
cumbia-de-la-buena,0,2013-05-01
cumbia-de-la-buena,0,2013-06-01
cumbia-de-la-buena,0,2013-07-01
cumbia-de-la-buena,0,2013-08-01
cumbia-de-la-buena,0,2013-09-01
cumbia-de-la-buena,0,2013-10-01
cumbia-de-la-buena,0,2013-11-01
cumbia-de-la-buena,0,2013-12-01
cumbia-de-la-buena,0,2014-01-01
cumbia-de-la-buena,0,2014-02-01
cumbia-de-la-buena,0,2014-03-01
cumbia-de-la-buena,0,2014-04-01
cumbia-de-la-buena,0,2014-05-01
cumbia-de-la-buena,0,2014-06-01
cumbia-de-la-buena,0,2014-07-01
cumbia-de-la-buena,0,2014-08-01
cumbia-de-la-buena,0,2014-09-01
cumbia-de-la-buena,0,2014-10-01
cumbia-de-la-buena,0,2014-11-01
cumbia-de-la-buena,0,2014-12-01
cumbia-de-la-buena,0,2015-01-01
cumbia-de-la-buena,0,2015-02-01
cumbia-de-la-buena,0,2015-03-01
cumbia-de-la-buena,0,2015-04-01
cumbia-de-la-buena,0,2015-05-01
cumbia-de-la-buena,0,2015-06-01
cumbia-de-la-buena,185,2015-07-01
cumbia-de-la-buena,293,2015-08-01
cumbia-de-la-buena,276,2015-09-01
cumbia-de-la-buena,255,2015-10-01
cumbia-de-la-buena,202,2015-11-01
cumbia-de-la-buena,196,2015-12-01
cumbia-de-la-buena,276,2016-01-01
cumbia-de-la-buena,277,2016-02-01
cumbia-de-la-buena,190,2016-03-01
cumbia-de-la-buena,49,2016-04-01
cumbia-de-la-buena,0,2016-05-01
cumbia-de-la-buena,0,2016-06-01
cumbia-de-la-buena,0,2016-07-01
cumbia-de-la-buena,0,2016-08-01
cumbia-de-la-buena,215,2016-09-01
cumbia-de-la-buena,256,2016-10-01
economia-desde-cero,0,2013-05-01
economia-desde-cero,0,2013-06-01
economia-desde-cero,0,2013-07-01
economia-desde-cero,0,2013-08-01
economia-desde-cero,0,2013-09-01
economia-desde-cero,0,2013-10-01
economia-desde-cero,0,2013-11-01
economia-desde-cero,0,2013-12-01
economia-desde-cero,0,2014-01-01
economia-desde-cero,0,2014-02-01
economia-desde-cero,0,2014-03-01
economia-desde-cero,0,2014-04-01
economia-desde-cero,0,2014-05-01
economia-desde-cero,0,2014-06-01
economia-desde-cero,0,2014-07-01
economia-desde-cero,0,2014-08-01
economia-desde-cero,0,2014-09-01
economia-desde-cero,0,2014-10-01
economia-desde-cero,0,2014-11-01
economia-desde-cero,0,2014-12-01
economia-desde-cero,0,2015-01-01
economia-desde-cero,0,2015-02-01
economia-desde-cero,0,2015-03-01
economia-desde-cero,0,2015-04-01
economia-desde-cero,0,2015-05-01
economia-desde-cero,0,2015-06-01
economia-desde-cero,0,2015-07-01
economia-desde-cero,0,2015-08-01
economia-desde-cero,0,2015-09-01
economia-desde-cero,0,2015-10-01
economia-desde-cero,0,2015-11-01
economia-desde-cero,0,2015-12-01
economia-desde-cero,0,2016-01-01
economia-desde-cero,0,2016-02-01
economia-desde-cero,0,2016-03-01
economia-desde-cero,0,2016-04-01
economia-desde-cero,271,2016-05-01
economia-desde-cero,350,2016-06-01
economia-desde-cero,363,2016-07-01
economia-desde-cero,336,2016-08-01
economia-desde-cero,309,2016-09-01
