programa,2013,2014,2015,2016,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
dar-la-nota,2080,1124,45,168,0,0,0,0,0,383,429,364,384,305,215,0,230,270,301,272,51,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0
construir-futuro-con-trabajo-decente,684,0,0,0,0,0,0,0,376,33,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sara-rus-tengo-que-contar,0,715,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,311,79,7,0,0,0,0,57,316,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
los-balcanes-salvajes,34,78,26,26,0,0,0,0,0,0,15,0,0,19,0,0,0,0,0,0,26,0,26,0,0,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
mujeres-lo-personal-es-politico,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somos-memoria,1863,1606,3088,2235,0,0,0,0,21,349,353,397,221,365,54,103,0,0,46,69,184,168,183,195,183,168,195,215,195,212,281,74,323,346,351,371,375,350,58,152,15,0,161,333,271,286,336,232,275,268,58,0
el-arbol-de-la-muralla,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pensadores,489,28,0,0,0,0,0,0,0,0,219,251,19,0,0,0,0,0,0,0,0,0,0,0,0,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el-cine-va-a-la-escuela,0,675,195,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,192,129,135,0,0,195,0,0,0,0,0,0,0,0,0,66,0,135,146,52,0,0,0,0,0,0,0
faros-la-luz-de-la-civilizacion,0,0,0,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,355,186,292,15,0,0,0,205,256,76,0
